OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662347400000,19834.66,19836.57,19813.07,19824.24,571.34967,1662347699999,39.67,-15.91,-17.28,1.36,37.69,53.33
1662347700000,19825.03,19859.03,19824.2,19855.09,572.48633,1662347999999,48.70,-13.82,-16.58,2.77,43.77,45.12
1662348000000,19856.12,19875.6,19854.29,19863.64,743.40128,1662348299999,50.90,-11.33,-15.53,4.20,61.50,47.65
1662348300000,19863.64,19873.61,19860.66,19870.22,457.25954,1662348599999,52.58,-8.73,-14.17,5.44,84.82,63.36
1662348600000,19870.22,19890.22,19864.49,19872.42,725.5854,1662348899999,53.15,-6.42,-12.62,6.20,83.07,76.46
1662348900000,19872.0,19897.8,19871.65,19897.08,626.26777,1662349199999,59.16,-2.57,-10.61,8.04,89.12,85.67
1662349200000,19896.53,19901.03,19878.36,19889.82,742.86501,1662349499999,56.85,-0.10,-8.51,8.41,83.99,85.39
1662349500000,19890.04,19904.48,19889.51,19896.17,532.667,1662349799999,58.38,2.34,-6.34,8.68,85.36,86.15
1662349800000,19895.34,19906.38,19890.02,19892.01,774.41116,1662350099999,56.95,3.89,-4.30,8.19,74.25,81.20
1662350100000,19890.96,19896.09,19878.96,19884.91,593.56291,1662350399999,54.51,4.50,-2.54,7.03,61.64,73.75
1662350400000,19884.88,19913.09,19873.23,19895.68,875.52707,1662350699999,57.49,5.78,-0.87,6.65,53.40,63.10
1662350700000,19895.68,19896.69,19865.78,19881.41,689.00531,1662350999999,52.57,5.58,0.42,5.16,42.51,52.52
1662351000000,19881.04,19896.93,19880.01,19889.08,461.89009,1662351299999,54.81,5.98,1.53,4.45,46.20,47.37
1662351300000,19888.02,19889.27,19865.76,19868.63,504.43786,1662351599999,48.27,4.58,2.14,2.44,29.45,39.39
1662351600000,19867.83,19882.67,19862.55,19880.65,416.94669,1662351899999,51.90,4.40,2.59,1.81,30.38,35.34
1662351900000,19880.65,19888.74,19874.26,19878.69,483.96223,1662352199999,51.27,4.05,2.88,1.17,29.61,29.81
1662352200000,19878.0,19881.69,19861.03,19862.94,606.7268,1662352499999,46.38,2.47,2.80,-0.33,29.36,29.78
1662352500000,19862.94,19866.96,19837.09,19844.07,884.79925,1662352799999,41.30,-0.30,2.18,-2.48,21.88,26.95
1662352800000,19844.07,19853.59,19838.13,19845.05,579.37315,1662353099999,41.66,-2.39,1.27,-3.65,11.37,20.87
1662353100000,19845.05,19865.43,19843.51,19859.28,523.4893,1662353399999,46.73,-2.86,0.44,-3.30,23.92,19.06
1662353400000,19858.84,19876.91,19854.92,19870.06,437.90359,1662353699999,50.26,-2.34,-0.11,-2.22,44.10,26.46
